date,entry_risk_score,entry_risk_level
2016-08-04,71.57560832357328,高
2016-08-05,69.9936489820553,中
2016-08-08,79.08507715495449,高
2016-08-09,81.76927950380308,高
2016-08-10,77.8595277255327,高
2016-08-11,77.8595277255327,高
2016-08-12,78.91119151174222,高
2016-08-15,71.98363294825609,高
2016-08-16,70.81893322354442,高
2016-08-17,54.40452627048178,中
2016-08-18,57.395131489604324,中
2016-08-19,57.13968993268681,中
2016-08-22,54.59035017212119,中
2016-08-23,54.94122772562176,中
2016-08-24,55.543526511003414,中
2016-08-25,54.03190803681672,中
2016-08-26,53.5467357741038,中
2016-08-29,52.87905608089365,中
2016-08-30,53.4226310667281,中
2016-08-31,52.04517022921702,中
2016-09-01,48.34358546528017,中
2016-09-02,49.8864844975791,中
2016-09-05,52.98203654223658,中
2016-09-06,65.23769039633959,中
2016-09-07,65.06226626557695,中
2016-09-08,55.21967966015756,中
2016-09-09,50.669070269807314,中
2016-09-12,51.26965373223048,中
2016-09-13,52.169513507830054,中
2016-09-14,48.0158229502123,中
2016-09-19,47.063290174679146,中
2016-09-20,47.651270423970026,中
2016-09-21,48.977390274370315,中
2016-09-22,51.22817133661125,中
2016-09-23,52.50631319597914,中
2016-09-26,51.73651202633251,中
2016-09-27,50.98580999879142,中
2016-09-28,49.3774371189703,中
2016-09-29,48.313411385747024,中
2016-09-30,49.86562282482644,中
2016-10-10,38.38688618829426,低
2016-10-11,37.76157080751978,低
2016-10-12,37.32956244640833,低
2016-10-13,38.08953391220112,低
2016-10-14,37.36969340316404,低
2016-10-17,38.358062825835596,低
2016-10-18,38.864397529894966,低
2016-10-19,38.46247890601141,低
2016-10-20,40.3827786218467,中
2016-10-21,38.860654722044586,低
2016-10-24,39.75324832575498,低
2016-10-25,40.97771367299488,中
2016-10-26,59.831232213614335,中
2016-10-27,57.57156436042315,中
2016-10-28,41.242215234299124,中
2016-10-31,43.459350614335825,中
2016-11-01,44.654408442679326,中
2016-11-02,47.6963884276323,中
2016-11-03,46.411964208829026,中
2016-11-04,43.80804990388004,中
2016-11-07,42.66268774356794,中
2016-11-08,43.8770341899218,中
2016-11-09,52.73253969163976,中
2016-11-10,45.299870634896976,中
2016-11-11,40.76475295680972,中
2016-11-14,36.6659513893546,低
2016-11-15,39.771291765721394,低
2016-11-16,41.64489871609259,中
2016-11-17,40.28878713594679,中
2016-11-18,36.77242686789305,低
2016-11-21,39.25849068853258,低
2016-11-22,39.7516864070487,低
2016-11-23,39.9643876900862,低
2016-11-24,49.26964638404936,中
2016-11-25,55.18556837073329,中
2016-11-28,39.50125162245333,低
2016-11-29,56.924972336157865,中
2016-11-30,51.75521956616098,中
2016-12-01,59.0542354865874,中
2016-12-02,51.97500950248548,中
2016-12-05,29.65407952445168,低
2016-12-06,29.222869797746153,低
2016-12-07,29.000839668435223,低
2016-12-08,51.39002535226533,中
2016-12-09,42.95840718302644,中
2016-12-12,44.2704987973488,中
2016-12-13,25.92904159785514,低
2016-12-14,58.481384691453584,中
2016-12-15,46.49123277338843,中
2016-12-16,53.31458156553155,中
2016-12-19,52.62983131743364,中
2016-12-20,56.80911242801836,中
2016-12-21,70.00025281344222,高
2016-12-22,73.98742206483482,高
2016-12-23,73.10634641173381,高
2016-12-26,95.60866688719815,高
2016-12-27,92.67245650761478,高
2016-12-28,,
2016-12-29,,
2016-12-30,,
2017-01-03,,
2017-01-04,,
2017-01-05,54.885427771399144,中
2017-01-06,,
2017-01-09,,
2017-01-10,,
2017-01-11,,
2017-01-12,,
2017-01-13,,
2017-01-16,,
2017-01-17,,
2017-01-18,,
2017-01-19,56.22741564275962,中
2017-01-20,60.07437259894179,中
2017-01-23,62.88132497781209,中
2017-01-24,61.40880272531904,中
2017-01-25,58.40141617736426,中
2017-01-26,57.30832422076397,中
2017-02-03,63.64475645558814,中
2017-02-06,67.03575020973109,中
2017-02-07,69.58359934047867,中
2017-02-08,69.36031121609892,中
